ID,type,Country,Stage name,Length,Surface,Ch,OR,,Average Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,France,Cote D'Arbroz II,4.3,tarmac,,,,3.76,,3,4,3,2,3,4,3,5,3,,,3,5,3,5,3,5,5,3,,4,3,4,3,5,3,5,5,4,3,4,,5,2,3,3,5,4,4,,,,4,,,,4,4,,,,,
51,,Japan,Noiker,13.8,gravel,,,,3.26,,3,2,3,3,3,4,3,3,3,,,4,5,,3,3,4,1,2,,3,3,3,2,4,4,5,3,3,2,3,,3,3,4,4,4,4,4,,,,,,,,,4,,,,,
52,,Japan,Sipirkakim,8.7,gravel,,,,3.61,,4,4,4,3,4,4,4,4,3,,,5,3,,2,3,5,4,2,,3,3,3,3,4,3,3,5,,2,4,,4,3,4,5,4,4,4,,,,4,,,3,,4,,,,,
53,,Japan,Pirka Menoko,6.7,gravel,,,,3.00,,2,2,1,2,,4,3,4,3,,,3,5,,3,3,3,1,2,,3,3,4,3,3,3,4,2,,2,3,,3,3,4,3,4,4,4,,,,,,,,,3,,,,,
54,,Japan,Tanner,3.9,gravel,,,,2.83,,2,2,0,5,3,2,2,3,3,,,2,5,,5,3,3,3,2,,3,3,4,4,4,3,0,2,1,2,3,,3,4,1,2,,4,4,,,,2,,,,5,3,,,,,
55,,Japan,Noiker II,13.7,gravel,,,,3.27,,3,2,3,3,3,4,3,3,3,,,4,5,,3,,4,1,2,,3,3,3,2,4,4,5,3,3,2,4,,3,4,4,4,,4,4,,,,,,,,,3,,,,,
56,,Japan,Tanner II,4,gravel,,,,2.76,,2,2,0,4,3,2,2,4,3,,,2,5,,5,,3,3,2,,3,3,4,4,3,3,0,2,0,2,3,,3,3,1,2,,4,4,,,,,,,,5,3,,,,,
61,,USA,Fraizer Wells,5,gravel,,,,3.06,,3,2,3,4,2,3,3,2,5,,,5,5,,3,,4,4,2,,,3,2,2,4,4,2,3,,2,,,5,0,2,3,4,3,3,,,,3,,,,,3,,,,,
62,,USA,Prospect Ridge,7.8,gravel,,,,3.71,,4,2,4,4,4,4,4,4,4,,,4,,,3,,4,4,4,,,3,4,4,4,3,4,5,,2,3,,5,0,4,4,5,4,4,,,,,,,,,4,,,,,
63,,USA,Diamond Creek,7.1,gravel,,,,3.06,,2,2,3,4,2,3,3,3,1,,,4,5,,3,3,3,4,2,,,3,3,2,4,3,4,4,3,2,,,2,3,2,4,5,4,3,,,,,,,,3,3,,,,,
64,,USA,Hualapai Nation,8.6,gravel,,,,2.72,,2,2,1,2,,3,3,4,0,,,4,4,,1,2,2,4,2,,,3,,1,4,4,3,4,,2,,,2,1,3,4,5,4,,,,,,,,,,3,,,,,
